"","edgeid","author","mentioned","degree_author","weight","vertexid","x","y","order"
"1",1,"@_A_K_K_","@AndiScheuer",28,3,1,1,0,"1"
"2",1,"@_A_K_K_","@AndiScheuer",28,3,2,0.99026806874157,0.139173100960065,"2"
"3",2,"@_A_K_K_","@ArminLaschet",28,55,1,1,0,"1"
"4",2,"@_A_K_K_","@ArminLaschet",28,55,3,0.961261695938319,0.275637355816999,"2"
"5",3,"@_A_K_K_","@b_riexinger",28,4,1,1,0,"1"
"6",3,"@_A_K_K_","@b_riexinger",28,4,4,0.913545457642601,0.4067366430758,"2"
"7",4,"@_A_K_K_","@bodoramelow",28,8,1,1,0,"1"
"8",4,"@_A_K_K_","@bodoramelow",28,8,6,0.766044443118978,0.642787609686539,"2"
"9",5,"@_A_K_K_","@bueti",28,2,1,1,0,"1"
"10",5,"@_A_K_K_","@bueti",28,2,7,0.669130606358858,0.743144825477394,"2"
"11",6,"@_A_K_K_","@c_lindner",28,357,1,1,0,"1"
"12",6,"@_A_K_K_","@c_lindner",28,357,8,0.559192903470747,0.829037572555042,"2"
"13",7,"@_A_K_K_","@cem_oezdemir",28,1,1,1,0,"1"
"14",7,"@_A_K_K_","@cem_oezdemir",28,1,10,0.309016994374947,0.951056516295154,"2"
"15",8,"@_A_K_K_","@FlorianPronold",28,1,1,1,0,"1"
"16",8,"@_A_K_K_","@FlorianPronold",28,1,12,0.0348994967025011,0.999390827019096,"2"
"17",9,"@_A_K_K_","@GoeringEckardt",28,9,1,1,0,"1"
"18",9,"@_A_K_K_","@GoeringEckardt",28,9,13,-0.104528463267654,0.994521895368273,"2"
"19",10,"@_A_K_K_","@groehe",28,11,1,1,0,"1"
"20",10,"@_A_K_K_","@groehe",28,11,14,-0.241921895599668,0.970295726275996,"2"
"21",11,"@_A_K_K_","@HanneloreKraft",28,2,1,1,0,"1"
"22",11,"@_A_K_K_","@HanneloreKraft",28,2,16,-0.5,0.866025403784439,"2"
"23",12,"@_A_K_K_","@hubertus_heil",28,12,1,1,0,"1"
"24",12,"@_A_K_K_","@hubertus_heil",28,12,17,-0.615661475325658,0.788010753606722,"2"
"25",13,"@_A_K_K_","@JTrittin",28,13,1,1,0,"1"
"26",13,"@_A_K_K_","@JTrittin",28,13,18,-0.719339800338651,0.694658370458997,"2"
"27",14,"@_A_K_K_","@juergenhardt",28,6,1,1,0,"1"
"28",14,"@_A_K_K_","@juergenhardt",28,6,19,-0.809016994374947,0.587785252292473,"2"
"29",15,"@_A_K_K_","@JuliaKloeckner",28,540,1,1,0,"1"
"30",15,"@_A_K_K_","@JuliaKloeckner",28,540,20,-0.882947592858927,0.469471562785891,"2"
"31",16,"@_A_K_K_","@katjakipping",28,7,1,1,0,"1"
"32",16,"@_A_K_K_","@katjakipping",28,7,21,-0.939692620785908,0.342020143325669,"2"
"33",17,"@_A_K_K_","@MGrosseBroemer",28,117,1,1,0,"1"
"34",17,"@_A_K_K_","@MGrosseBroemer",28,117,26,-0.939692620785908,-0.342020143325669,"2"
"35",18,"@_A_K_K_","@nouripour",28,2,1,1,0,"1"
"36",18,"@_A_K_K_","@nouripour",28,2,27,-0.882947592858927,-0.469471562785891,"2"
"37",19,"@_A_K_K_","@peter_simone",28,10,1,1,0,"1"
"38",19,"@_A_K_K_","@peter_simone",28,10,30,-0.615661475325658,-0.788010753606722,"2"
"39",20,"@_A_K_K_","@peteraltmaier",28,163,1,1,0,"1"
"40",20,"@_A_K_K_","@peteraltmaier",28,163,31,-0.5,-0.866025403784438,"2"
"41",21,"@_A_K_K_","@petertauber",28,375,1,1,0,"1"
"42",21,"@_A_K_K_","@petertauber",28,375,32,-0.374606593415912,-0.927183854566787,"2"
"43",22,"@_A_K_K_","@Ralf_Stegner",28,7,1,1,0,"1"
"44",22,"@_A_K_K_","@Ralf_Stegner",28,7,35,0.0348994967025013,-0.999390827019096,"2"
"45",23,"@_A_K_K_","@RegSprecher",28,10,1,1,0,"1"
"46",23,"@_A_K_K_","@RegSprecher",28,10,36,0.17364817766693,-0.984807753012208,"2"
"47",24,"@_A_K_K_","@RenateKuenast",28,13,1,1,0,"1"
"48",24,"@_A_K_K_","@RenateKuenast",28,13,37,0.309016994374947,-0.951056516295154,"2"
"49",25,"@_A_K_K_","@sigmargabriel",28,4,1,1,0,"1"
"50",25,"@_A_K_K_","@sigmargabriel",28,4,38,0.438371146789077,-0.898794046299167,"2"
"51",26,"@_A_K_K_","@ThomasOppermann",28,3,1,1,0,"1"
"52",26,"@_A_K_K_","@ThomasOppermann",28,3,42,0.848048096156426,-0.529919264233205,"2"
"53",27,"@_A_K_K_","@tsghessen",28,19,1,1,0,"1"
"54",27,"@_A_K_K_","@tsghessen",28,19,43,0.913545457642601,-0.4067366430758,"2"
"55",28,"@_A_K_K_","@Volker_Beck",28,17,1,1,0,"1"
"56",28,"@_A_K_K_","@Volker_Beck",28,17,44,0.961261695938319,-0.275637355816999,"2"
"57",29,"@AndiScheuer","@ArminLaschet",29,14,2,0.99026806874157,0.139173100960065,"1"
"58",29,"@AndiScheuer","@ArminLaschet",29,14,3,0.961261695938319,0.275637355816999,"2"
"59",30,"@AndiScheuer","@b_riexinger",29,23,2,0.99026806874157,0.139173100960065,"1"
"60",30,"@AndiScheuer","@b_riexinger",29,23,4,0.913545457642601,0.4067366430758,"2"
"61",31,"@AndiScheuer","@bodoramelow",29,8,2,0.99026806874157,0.139173100960065,"1"
"62",31,"@AndiScheuer","@bodoramelow",29,8,6,0.766044443118978,0.642787609686539,"2"
"63",32,"@AndiScheuer","@bueti",29,1,2,0.99026806874157,0.139173100960065,"1"
"64",32,"@AndiScheuer","@bueti",29,1,7,0.669130606358858,0.743144825477394,"2"
